Company,Ticker,Fiscal Year,Fiscal Year End,Statement,Line Item,Value USD millions,Source
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Change in A/P & Accrued Liabilities,2401.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Capital Expenditures,2566.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Business Acquisitions,421.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Investing Cash Flow,-2969.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Share Repurchases,14809.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Dividends Paid,6985.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Financing Cash Flow,-19120.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,Revenue,157403.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,Cost of Sales,104625.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,Gross Profit,52778.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,SG&A,26284.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,Depreciation & Amortization Expense,2455.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,Operating Income,24039.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,Interest Expense,1617.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,Income Before Tax,22477.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,Income Tax Expense,5372.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Income Statement,Net Income,17105.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Cash & Equivalents,2757.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Accounts Receivable,3317.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Inventory,24886.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Current Assets,32471.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Total Assets,76445.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Accounts Payable,11443.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Current Liabilities,23110.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Current Debt,1231.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Long-term Debt,41962.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Operating Lease Liabilities,7171.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Total Liabilities,74883.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Balance Sheet,Stockholders' Equity,1562.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Operating Cash Flow,14615.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,D&A Add-back,2796.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Change in Receivables,-111.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Change in Inventory,,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Change in A/P & Accrued Liabilities,-2577.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Capital Expenditures,3119.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Business Acquisitions,0.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Investing Cash Flow,-3140.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Share Repurchases,6696.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Dividends Paid,7789.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2022,2023-01-29,Cash Flow,Financing Cash Flow,-10993.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,Revenue,152669.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,Cost of Sales,101709.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,Gross Profit,50960.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,SG&A,26598.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,Depreciation & Amortization Expense,2673.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,Operating Income,21689.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,Interest Expense,1943.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,Income Before Tax,19924.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,Income Tax Expense,4781.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Income Statement,Net Income,15143.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Cash & Equivalents,3760.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Accounts Receivable,3328.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Inventory,20976.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Current Assets,29775.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Total Assets,76530.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Accounts Payable,10037.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Current Liabilities,22015.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Current Debt,1368.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Long-term Debt,42743.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Operating Lease Liabilities,8132.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Total Liabilities,75486.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Balance Sheet,Stockholders' Equity,1044.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Operating Cash Flow,21172.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,D&A Add-back,3061.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Change in Receivables,-134.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Change in Inventory,,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Change in A/P & Accrued Liabilities,-1411.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Capital Expenditures,3226.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Business Acquisitions,1514.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Investing Cash Flow,-4729.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Share Repurchases,7951.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Dividends Paid,8383.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2023,2024-01-28,Cash Flow,Financing Cash Flow,-15443.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,Revenue,159514.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,Cost of Sales,106206.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,Gross Profit,53308.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,SG&A,28748.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,Depreciation & Amortization Expense,3034.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,Operating Income,21526.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,Interest Expense,2321.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,Income Before Tax,19406.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,Income Tax Expense,4600.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Income Statement,Net Income,14806.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Cash & Equivalents,1659.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Accounts Receivable,4903.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Inventory,23451.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Current Assets,31683.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Total Assets,96119.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Accounts Payable,11938.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Current Liabilities,28661.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Current Debt,4582.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Long-term Debt,48485.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Operating Lease Liabilities,8907.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Total Liabilities,89479.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Balance Sheet,Stockholders' Equity,6640.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Operating Cash Flow,19810.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,D&A Add-back,3336.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Change in Receivables,-174.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Change in Inventory,,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Change in A/P & Accrued Liabilities,518.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Capital Expenditures,3485.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Business Acquisitions,17644.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Investing Cash Flow,-21031.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Share Repurchases,649.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Dividends Paid,8929.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2024,2025-02-02,Cash Flow,Financing Cash Flow,-694.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,Revenue,164683.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,Cost of Sales,109818.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,Gross Profit,54865.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,SG&A,30702.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,Depreciation & Amortization Expense,3273.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,Operating Income,20890.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,Interest Expense,2412.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,Income Before Tax,18602.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,Income Tax Expense,4446.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Income Statement,Net Income,14156.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Cash & Equivalents,1389.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Accounts Receivable,5597.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Inventory,25817.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Current Assets,34391.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Total Assets,105095.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Accounts Payable,11491.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Current Liabilities,32424.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Current Debt,4967.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Long-term Debt,46341.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Operating Lease Liabilities,9578.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Total Liabilities,92282.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Balance Sheet,Stockholders' Equity,12813.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Operating Cash Flow,16325.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,D&A Add-back,3514.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Change in Receivables,-107.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Change in Inventory,,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Change in A/P & Accrued Liabilities,-1058.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Capital Expenditures,3679.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Business Acquisitions,5410.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Investing Cash Flow,-8980.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Share Repurchases,0.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Dividends Paid,9152.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
"The Home Depot, Inc.",HD,2025,2026-02-01,Cash Flow,Financing Cash Flow,-7714.0,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm
